title,feed_name,link,hit_probability,expected_points,recommendation
Why colos are city slickers and hyperscalers are country bumpkins,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/study_hyperscaler_colo_locations/,0.6215449109023148,39.51104954146357,Good
Trade Deficit Decreased to $29.4 Billion in October,Calculated Risk,http://www.calculatedriskblog.com/2026/01/trade-deficit-decreased-to-294-billion.html,0.6196372636381743,54.6022608129702,Good
"Happy birthday, David Bowie",Boing Boing,https://boingboing.net/2026/01/08/happy-birthday-david-bowie.html,0.6178273860755643,45.42953687103394,Good
Hidradenitis Surgery Shows Two Distinct Recurrence Patterns,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/surgical-recurrence-patterns-hidradenitis-suppurativa-tunnel-2026a1000086?src=rss,0.6159009785472673,35.918966183794794,Good
The most bizarre tech announced so far at CES 2026,TechCrunch,https://techcrunch.com/2026/01/08/the-most-bizarre-tech-announced-so-far-at-ces-2026/,0.6139921633514013,42.36065923009911,Good
CISA flags actively exploited Office relic alongside fresh HPE flaw,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/cisa_oneview_powerpoint_bugs/,0.6137412338617131,38.01681502876884,Good
Critics pan spyware maker NSO’s transparency claims amid its push to enter US market,TechCrunch,https://techcrunch.com/2026/01/08/critics-pan-spyware-maker-nsos-transparency-claims-amid-its-push-to-enter-us-market/,0.6068880431162101,40.79679018861042,Good
December Employment Preview,Calculated Risk,http://www.calculatedriskblog.com/2026/01/december-employment-preview.html,0.6033673726354212,39.77427128108617,Good
"Bitcoin bounces to $90,500 after testing key support of $89,200","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/bitcoin-tests-key-support-level-of-usd89k-after-failing-to-break-trough-usd95k-earlier-in-the-week,0.6018079818389985,43.441449597330475,Good
MoonLake revives FDA push; Biotech trio to debut in Hong Kong,Endpoints News,https://endpoints.news/moonlake-revives-fda-push-biotech-trio-to-debut-in-hong-kong/,0.6002914063316934,54.61390033751363,Good
Disney+ is launching short-form videos this year,TechCrunch,https://techcrunch.com/2026/01/08/disney-is-launching-short-form-videos-this-year/,0.5987578402057512,49.7137923633804,Good
Clang Hardening Cheat Sheet - Ten Years Later,Lobsters,https://blog.quarkslab.com/clang-hardening-cheat-sheet-ten-years-later.html,0.5936888164524406,38.247978459357434,Good
Vizgen raises $48M for push in spatial biology and multiomics tools,Endpoints News,https://endpoints.news/vizgen-raises-48m-for-push-in-spatial-biology-and-multiomics-tools/,0.5935288140316486,38.70364960507264,Good
"GSK, Noetik sign cancer deal on AI virtual cell models",Endpoints News,https://endpoints.news/gsk-noetik-sign-cancer-deal-on-ai-virtual-cell-models/,0.5912318706251656,39.76530734552442,Good
OpenAI putting bandaids on bandaids as prompt injection problems keep festering,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/openai_chatgpt_prompt_injection/,0.5871888363880747,29.98592246671676,Good
UK regulators swarm X after Grok generated nudes from photos,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/uk_regulators_swarm_x_after/,0.5858327664039402,46.23918469382771,Good
Improving the Flatpak Graphics Drivers Situation,Lobsters,https://blog.sebastianwick.net/posts/flatpak-graphics-drivers/,0.5844311544471061,42.96108611640577,Good
CoinDesk 20 Performance Update: Ripple (XRP) Drops 4.5% as Nearly All Assets Decline,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/coindesk-indices/2026/01/08/coindesk-20-performance-update-ripple-xrp-drops-4-5-as-nearly-all-assets-decline,0.5800396600551947,45.38949798285335,Good
EpiBiologics raises $107M for its protein-degrading cancer drug,BioPharma Dive - Latest News,https://www.biopharmadive.com/news/epibiologics-series-b-targeted-protein-degradation-egfr/808984/,0.5769065645161588,30.89327579250104,Good
Beacon Therapeutics adds $75M in push to succeed where J&J failed in vision treatment,Endpoints News,https://endpoints.news/beacon-therapeutics-adds-75m-in-push-to-succeed-where-jj-failed-in-vision-treatment/,0.5767832362331193,36.754366659520535,Good
California built a free tool to delete your data from 500+ data brokers at once,Boing Boing,https://boingboing.net/2026/01/08/california-built-a-free-tool-to-delete-your-data-from-500-data-brokers-at-once.html,0.5728281392148412,32.681155512617856,Good
China Drifts Closer to Its Own Lost Decade,RSSOpinion,https://www.wsj.com/opinion/china-drifts-closer-to-its-own-lost-decade-dc016a6b,0.5710768371206942,55.69431885090536,Good
Boltz raises $28M seed to build open AI models in biology,Endpoints News,https://endpoints.news/exclusive-boltz-raises-28m-seed-to-build-open-ai-models-in-biology/,0.561601469163733,36.95878197367417,Good
The Tyranny of the Complainers,Marginal REVOLUTION,https://marginalrevolution.com/marginalrevolution/2026/01/the-tyranny-of-the-complainers.html?utm_source=rss&utm_medium=rss&utm_campaign=the-tyranny-of-the-complainers,0.5609678979082088,45.77130837273975,Good
*Resurrection*,Marginal REVOLUTION,https://marginalrevolution.com/marginalrevolution/2026/01/resurrection.html?utm_source=rss&utm_medium=rss&utm_campaign=resurrection,0.5599575233556634,44.03186467293334,Good
"Parabilis, chasing ‘undruggable’ targets, nabs $305M amid VC funding blitz",BioPharma Dive - Latest News,https://www.biopharmadive.com/news/parabilis-financing-zolucatetide-beta-catenin-cancer-drug/809079/,0.5595064944644352,27.930683650788584,Good
New Dietary Guidelines: Eat More Meat and Whole-Fat Dairy,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/new-dietary-guidelines-eat-more-meat-and-whole-fat-dairy-2026a10000ln?src=rss,0.5507568634753234,31.216076038777356,Good
Can Asthma Apps Help Fix NHS Care Gaps?,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/can-asthma-apps-help-fix-nhs-care-gaps-2026a10000km?src=rss,0.549981023679945,36.21897648594187,Good
Behold the Prohibited Marios of Nintendo's internal illustration manual,Boing Boing,https://boingboing.net/2026/01/08/behold-the-prohibited-marios-of-nintendos-internal-illustration-manual.html,0.5483464603224804,30.267009848872974,Good
Circadian Disruption Tied to Dementia Development,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/circadian-disruption-tied-dementia-development-2026a10000kv?src=rss,0.5441937590081912,36.66836456012903,Good
"Illinois health department exposed over 700,000 residents’ personal data for years",TechCrunch,https://techcrunch.com/2026/01/08/illinois-health-department-exposed-over-700000-residents-personal-data-for-years/,0.5415934746672,35.652730651406706,Good
Explore the latest: Arduino’s growing open source ecosystem,PlanetArduino,https://blog.arduino.cc/2026/01/08/explore-the-latest-arduinos-growing-open-source-ecosystem/,0.5413626094146308,46.134882508841706,Good
"CSAM on X is a choice, says politician who wanted to ban web browsers over anonymous porn",Boing Boing,https://boingboing.net/2026/01/08/csam-on-x-is-a-personal-choice-says-politician-who-wanted-to-ban-web-browsers-over-anonymous-porn.html,0.5401874658962527,57.709920703232534,Good
More Small Firms Raising Pay,RSSOpinion,https://www.wsj.com/opinion/more-small-firms-raising-pay-a44e3087,0.5364040625540716,39.672452125523044,Good
11 unreleased Boards of Canada tracks from the 1980s and 1990s,Boing Boing,https://boingboing.net/2026/01/08/11-unreleased-boards-of-canada-tracks-from-the-1980s-and-1990s.html,0.5346960267267519,50.91460417570021,Good
"""We executed one of you"": MAGA cheers ICE killing of a mother of three",Boing Boing,https://boingboing.net/2026/01/08/we-executed-one-of-you-maga-cheers-ice-killing-of-a-mother-of-three.html,0.5331154814933319,76.32416651340661,Good
Topical Treatment Shows Promise for Mild HS in Case Series,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/case-series-topical-treatment-shows-promise-mild-2026a10000md?src=rss,0.5321262639532539,41.534395424556635,Good
"Weekly Initial Unemployment Claims Increase to 208,000",Calculated Risk,http://www.calculatedriskblog.com/2026/01/weekly-initial-unemployment-claims.html,0.5320329449671188,42.84897494569321,Good
10 Thursday AM Reads,The Big Picture,https://ritholtz.com/2026/01/10-thursday-am-reads-479/,0.531288673029181,55.712733773326356,Good
Ollin’s drug clears retinal disease better than Roche’s Vabysmo in Phase 1b trial,Endpoints News,https://endpoints.news/ollins-drug-clears-retinal-disease-better-than-roches-vabysmo-in-phase-1b-trial/,0.5297530957146223,33.96831315464785,Good
Patch Cisco ISE bug now before attackers abuse proof-of-concept exploit,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/rcisco_ise_bug_poc/,0.5251368126701966,28.44251031594946,Good
Charles River CEO Jim Foster to retire; Samsung Bio buys a GSK factory,Endpoints News,https://endpoints.news/charles-river-ceo-jim-foster-to-retire-samsung-bio-buys-a-gsk-factory/,0.5246561036291106,46.2070848586468,Good
Albo takes over the economy,MacroBusiness,https://www.macrobusiness.com.au/2026/01/albo-takes-over-the-economy/,0.5234915268204027,60.066765630542264,Good
Microsoft Exchange Online outage blocks access to mailboxes via IMAP4,BleepingComputer,https://www.bleepingcomputer.com/news/microsoft/microsoft-exchange-online-outage-blocks-access-to-mailboxes-via-imap4/,0.5233862671841574,54.54318204039137,Good
"Yes, criminals are using AI to vibe-code malware",The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/criminals_vibe_coding_malware/,0.5209067777169575,31.939382315460843,Good
There is a new sheriff in ARC Raiders town,Boing Boing,https://boingboing.net/2026/01/08/there-is-a-new-sheriff-in-arc-raiders-town.html,0.5185524192387383,40.80773546702288,Good
New indie shooter lets you hack the game for survival,Boing Boing,https://boingboing.net/2026/01/08/new-indie-shooter-lets-you-hack-the-game-for-survival.html,0.5180875971037026,27.970030086590345,Good
"Tessera Therapeutics to lay off 90 employees, according to document",Endpoints News,https://endpoints.news/tessera-therapeutics-to-lay-off-90-employees-according-to-document/,0.5148321021213033,46.034659304099755,Good
Asus ExpertCenter PN55 is a mini PC with up to Ryzen AI 9 HX 470,Liliputing,https://liliputing.com/asus-expertcenter-pn55-is-a-mini-pc-with-up-to-ryzen-ai-9-hx-470/,0.5027064348141589,40.4546479889646,Good
★ Let’s Call a Murder a Murder,Daring Fireball,https://daringfireball.net/2026/01/lets_call_a_murder_a_murder,0.5002798326601346,57.97202489817513,Good
Parabilis gets $305M to tackle ‘undruggable’ proteins,Endpoints News,https://endpoints.news/parabilis-gets-305m-to-tackle-undruggable-proteins/,0.49863878767734293,40.46840332188585,Maybe
Snapic A1 is a new 35mm film camera from Kodak,Boing Boing,https://boingboing.net/2026/01/08/snapic-a1-is-a-new-35mm-film-camera-from-kodak.html,0.4958497310864433,47.87981631172247,Maybe
Exploring the LEGO and micro:bit Expansion of MechDog,Explore all projects - Page 1 - Hackster.io,https://www.hackster.io/HiwonderRobot/exploring-the-lego-and-micro-bit-expansion-of-mechdog-2bf4ac,0.4955239371339871,42.11556604857956,Maybe
Top privacy token Zcash falls 14% after key developer team quits over governance clash,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/tech/2026/01/08/zcash-developer-team-behind-ecc-quits-after-governance-clash-with-bootstrap-board,0.4889880699901241,43.851495306964324,Maybe
EverNitro is simplifying the process of crafting silky nitro coffee at CES 2026,TechCrunch,https://techcrunch.com/2026/01/08/evernitro-is-simplifying-the-process-of-crafting-silky-nitro-coffee-at-ces-2026/,0.47993704890811495,27.267301423625117,Maybe
"The Full-Sized 32-Wheeled, Articulated Bus Built for a 1976 Movie",Blog – Hackaday,https://hackaday.com/2026/01/08/the-full-sized-32-wheeled-articulated-bus-built-for-a-1976-movie/,0.4784913770410721,22.38285017206785,Maybe
"October's crypto crash left market makers stuffed with coins, slowing trading: BitMEX","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/october-s-crypto-crash-left-market-makers-stuffed-with-coins-slowing-trading-bitmex,0.4765428890358034,18.95593939253224,Maybe
Why this VC thinks 2026 will be ‘the year of the consumer’,TechCrunch,https://techcrunch.com/2026/01/08/why-this-vc-thinks-2026-will-be-the-year-of-the-consumer/,0.4753774622220737,39.74464032044436,Maybe
Texas court blocks Samsung from collecting smart TV viewing data,BleepingComputer,https://www.bleepingcomputer.com/news/security/texas-court-blocks-samsung-from-collecting-smart-tv-viewing-data/,0.47450194957231817,39.64039777609084,Maybe
Iran: Elite Paralysis and Systemic Decay,Geopolitical Futures,https://geopoliticalfutures.com/iran-elite-paralysis-and-systemic-decay/,0.47019467838805984,28.594792949302658,Maybe
Vol orders and discussion on option execution,moontower: a stoner dad explains options trading to his kids,https://moontower.substack.com/p/vol-orders-and-discussion-on-option,0.46707763367697686,25.457562274145815,Maybe
Minnesota officials say they're being blocked from investigating fatal ICE shooting,Boing Boing,https://boingboing.net/2026/01/08/minnesota-officials-say-theyre-being-blocked-from-investigating-fatal-ice-shooting.html,0.46496565752587676,53.860569871432176,Maybe
Florida revives push for bitcoin reserve with new 2026 bill,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/policy/2026/01/08/florida-revives-push-for-bitcoin-reserve-with-new-2026-bill,0.4644339101324544,28.405971620192254,Maybe
A College Can’t Be Neutral. But Why Not Try?,RSSOpinion,https://www.wsj.com/opinion/a-college-cant-be-neutral-but-why-not-try-ideology-activism-30160fb6,0.4632857580163538,26.422326384351752,Maybe
Stem Cell-Derived Neurons Navigate to Form Connections in the Injured Brain,GEN – Genetic Engineering and Biotechnology News,https://www.genengnews.com/topics/translational-medicine/stem-cell-derived-neurons-navigate-to-form-connections-in-the-injured-brain/,0.46036242174197517,38.017038619387804,Maybe
5 Expat Doctors: The Realities of Practicing Far From Home,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/expat-doctors-realities-practicing-far-home-2026a10000l4?src=rss,0.4579145896681232,51.60409178046313,Maybe
Microsoft to enforce MFA for Microsoft 365 admin center sign-ins,BleepingComputer,https://www.bleepingcomputer.com/news/microsoft/microsoft-to-enforce-mfa-for-microsoft-365-admin-center-sign-ins/,0.4576509391710639,45.348182142141,Maybe
Cursorless: Voice coding at the speed of thought,Lobsters,https://www.cursorless.org/,0.4559402377569521,32.49179765742882,Maybe
Ransomware attacks kept climbing in 2025 as gangs refused to stay dead,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/ransomware_2025_emsisoft/,0.4525429766860399,30.262110446350984,Maybe
"New comment by ktg0215 in ""Bose is open-sourcing its old smart speakers instead of bricking them""",Hacker News: Best Comments,https://news.ycombinator.com/item?id=46542100,0.45175637467781415,25.37161583848153,Maybe
"New comment by filoleg in ""Bose is open-sourcing its old smart speakers instead of bricking them""",Hacker News: Best Comments,https://news.ycombinator.com/item?id=46545145,0.45175637467781415,25.37161583848152,Maybe
BNB falls below $885 as broader market pulls back and treasury tensions emerge,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/bnb-falls-below-usd885-as-broader-market-pulls-back-and-treasury-tensions-emerge,0.45141820062765714,38.20874903211592,Maybe
An Interview with Jeremie Eliahou Ontiveros and Ajey Pandey About Building Power for AI,Stratechery by Ben Thompson,https://stratechery.com/2026/an-interview-with-jeremie-eliahou-ontiveros-and-ajey-pandey-about-building-power-for-ai/,0.4505299999948983,21.59061521159305,Maybe
What Does Xi Think About the Maduro Raid?,RSSOpinion,https://www.wsj.com/opinion/what-does-xi-think-about-the-maduro-raid-china-us-washington-venezuela-5c658011,0.45010899297726403,34.00127444479577,Maybe
Maximum-severity n8n flaw lets randos run your automation server,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/n8n_rce_bug/,0.4491924753770955,20.72985011953916,Maybe
GTMfund has rewritten the distribution playbook for the AI era,TechCrunch,https://techcrunch.com/2026/01/08/gtmfund-has-rewritten-the-distribution-playbook-for-the-ai-era/,0.4483523291092175,23.357712841789073,Maybe
Seasonal Switch 2 sales show significant slowing as annual cycle sunsets,Gaming - Ars Technica,https://arstechnica.com/gaming/2026/01/seasonal-switch-2-sales-show-significant-slowing-as-annual-cycle-sunsets/,0.44686618683124796,35.11904053723647,Maybe
"New comment by jeffwask in ""Bose is open-sourcing its old smart speakers instead of bricking them""",Hacker News: Best Comments,https://news.ycombinator.com/item?id=46542347,0.4464313163953711,24.859316827323557,Maybe
Tokenized Brazilian credit card debt offers 13% yield through BlackOpal's GemStone platform,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/tokenized-brazilian-credit-card-debt-offers-13-yield-through-blackopal-s-gemstone-platform,0.446313425476504,19.775819966737078,Maybe
"It’s Not a Leica, It’s a Lumix",Blog – Hackaday,https://hackaday.com/2026/01/08/its-not-a-leica-its-a-lumix/,0.44466286943251493,30.419949478333006,Maybe
"New comment by dspillett in ""Bose is open-sourcing its old smart speakers instead of bricking them""",Hacker News: Best Comments,https://news.ycombinator.com/item?id=46542580,0.44111852295896115,24.356969814497468,Maybe
ASRock introduces NUC Ultra 300 BOX mini PCs with Intel Panther Lake,Liliputing,https://liliputing.com/asrock-introduces-nuc-ultra-300-box-mini-pcs-with-intel-panther-lake/,0.4364678419330518,46.33912672297883,Maybe
"Texas court blocks Samsung from tracking TV viewing, then vacates order",BleepingComputer,https://www.bleepingcomputer.com/news/security/texas-court-blocks-samsung-from-tracking-tv-viewing-then-vacates-order/,0.4360421792050304,38.40817136403357,Maybe
I watched LG’s new home robot CLOid do laundry but I have questions,TechCrunch,https://techcrunch.com/2026/01/08/i-watched-lgs-new-home-robot-cloid-do-laundry-but-i-have-questions/,0.43458854915592043,38.55256403347592,Maybe
Is Inflammation the Key to Women’s Heart Health?,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/smurf-less-inflamed-inflammation-key-womens-heart-health-2026a10000lu?src=rss,0.43267302959346565,29.65561497390247,Maybe
JPMorgan says the crypto selloff may be nearing a bottom as ETF outflows ease,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/markets/2026/01/08/jpmorgan-says-the-crypto-selloff-may-be-nearing-a-bottom-as-etf-outflows-ease,0.4296509003796702,33.245907718363405,Maybe
It Profits Us to Replace the U.S. Welfare State,RSSOpinion,https://www.wsj.com/opinion/it-profits-us-to-replace-the-u-s-welfare-state-nonprofits-50d52196,0.4249697437421931,35.710907733941575,Maybe
"Gmail debuts a personalized AI Inbox, AI Overviews in search, and more",TechCrunch,https://techcrunch.com/2026/01/08/gmail-debuts-a-personalized-ai-inbox-ai-overviews-in-search-and-more/,0.42472197333869677,25.735906675710137,Maybe
Inside Doctronic's experiment to allow AI to refill prescriptions,Endpoints News,https://endpoints.news/inside-doctronics-experiment-to-allow-ai-to-refill-prescriptions/,0.4227576375786311,23.436495464329735,Maybe
OpenAI to acquire the team behind executive coaching AI tool Convogo,TechCrunch,https://techcrunch.com/2026/01/08/openai-to-acquire-the-team-behind-executive-coaching-ai-tool-convogo/,0.41971312501826386,22.870370860781218,Maybe
"Weight Regain, Health Benefit Loss Rapid When GLP-1s Stopped",Medscape Medical News Headlines,https://www.medscape.com/viewarticle/weight-regain-health-benefit-loss-rapid-when-glp-1s-stopped-2026a10000kr?src=rss,0.4184818983607424,27.111766486657842,Maybe
Ultimate camouflage tech mimics octopus in scientific first,The Register,https://go.theregister.com/feed/www.theregister.com/2026/01/08/camouflage_tech_mimics_octopus/,0.41709624302829806,31.39411133983163,Maybe
A PA’s Guide to Malpractice and Liability,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/protect-your-practice-pas-guide-malpractice-and-liability-2026a10000l5?src=rss,0.41226817019447615,25.625914180755263,Maybe
Exercise Matches Therapy in Easing Depression Symptoms,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/exercise-matches-therapy-easing-depression-symptoms-2026a10000nb?src=rss,0.40974616714721046,26.16928052368786,Maybe
Family History Strongly Tied to Primary Hyperparathyroidism,Medscape Medical News Headlines,https://www.medscape.com/viewarticle/family-history-strongly-tied-primary-hyperparathyroidism-2026a10000l0?src=rss,0.40945348866223596,33.503262732601044,Maybe
Electric Snowblower Clears the Way With Hobby Parts,Blog – Hackaday,https://hackaday.com/2026/01/08/electric-snowblower-clears-the-way-with-hobby-parts/,0.39989689385785226,19.81806399262567,Maybe
Zcash governance clash tanked the token. Here's why it may not be as big as it seems.,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/zcash-governance-dispute-may-not-be-as-big-as-it-seems,0.39872350308761684,33.83259740980112,Maybe
When the vice president blesses the killing,Boing Boing,https://boingboing.net/2026/01/08/when-the-vice-president-blesses-the-killing.html,0.39863644340312754,52.499008278696934,Maybe
New Lilly data suggest Zepbound boosted effect of autoimmune drug,Endpoints News,https://endpoints.news/new-lilly-data-suggest-zepbound-boosted-effect-of-autoimmune-drug/,0.39746061056703796,22.496052922028614,Maybe
Optimism proposes OP token buybacks using 50% of superchain revenue,"CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/optimism-proposes-op-token-buybacks-using-50-of-superchain-revenue,0.3960707964346102,27.705972462437106,Maybe
"Ethereum scaling network Polygon close to buying bitcoin kiosk firm Coinme, sources say","CoinDesk: Bitcoin, Ethereum, Crypto News and Price Data",https://www.coindesk.com/business/2026/01/08/ethereum-scaling-network-polygon-close-to-buying-bitcoin-kiosk-firm-coinme-sources-say,0.39598348362480285,26.53048843348773,Maybe
"Hands-on with a prototype of Clicks’ Communicator, a new BlackBerry-like smartphone",TechCrunch,https://techcrunch.com/2026/01/08/hands-on-with-a-prototype-of-clicks-communicator-a-new-blackberry-like-smartphone/,0.3939480452893119,19.22784967514412,Maybe
